รหัสวิชา,ชื่อวิชา,หน่วยกิต
03602462-60,"Logistics Engineering
วิศวกรรมโลจิสติกส์",3(3-0-6)
03602496-60,"Selected Topics in Industrial and Systems Engineering
เรื่องเฉพาะทางวิศวกรรมอุตสาหการและระบบ",45352
03602498-60,"Special Problems
ปัญหาพิเศษ",45352
01999021-65,"Thai Language for Communication
ภาษาไทยเพื่อการสื่อสาร",3(3-0-6)
01355101-65,"English for Everyday Life
ภาษาอังกฤษในชีวิตประจำวัน",3(3-0-6)
01355102-65,"English for University Life
ภาษาอังกฤษในมหาวิทยาลัย",3(3-0-6)
01355103-65,"English for Job Opportunities
ภาษาอังกฤษเพื่อโอกาสในการทำงาน",3(3-0-6)
03754xxx-65,กลุ่มวิชาภาษาอังกฤษเลือก (03754xxx),3(3-0-6)
01999111-65,"Knowledge of the Land
ศาสตร์แห่งแผ่นดิน",2(2-0-4)
01403114-65,"Laboratory in Fundamental of General Chemistry
ปฏิบัติการหลักมูลเคมีทั่วไป",1(0-3-2)
01403117-65,"Fundamental of General Chemistry
หลักมูลเคมีทั่วไป",3(3-0-6)
01417167-65,"Engineering Mathematics I
คณิตศาสตร์วิศวกรรม I",3(3-0-6)
01417168-65,"Engineering Mathematics II
คณิตศาสตร์วิศวกรรม II",3(3-0-6)
01420111-65,"General Physics I
ฟิสิกส์ทั่วไป I",3(3-0-6)
01420112-65,"General Physics II
ฟิสิกส์ทั่วไป II",3(3-0-6)
01420113-65,"Laboratory in Physics I
ปฏิบัติการฟิสิกส์ I",1(0-3-2)
01420114-65,"Laboratory in Physics II
ปฏิบัติการฟิสิกส์ II",1(0-3-2)
03602211-65,"Materials Science for Engineers
วัสดุศาสตร์สำหรับวิศวกร",3(3-0-6)
03603101-65,"Introduction to Computer Programming
การโปรแกรมคอมพิวเตอร์เบื้องต้น",3(2-3-6)
03604111-65,"Engineering Drawing
การเขียนแบบทางวิศวกรรม",3(2-3-6)
03601201-65,"Introduction to Electrical Engineering
วิศวกรรมไฟฟ้าเบื้องต้น",3(3-0-6)
03601202-65,"Electrical Engineering Laboratory
ปฏิบัติการวิศวกรรมไฟฟ้า",1(0-3-2)
