ลำดับ,รหัสวิชา,ชื่อวิชา,หน่วยกิจ,ประเภทวิชา
120,01203479-60,"Computer applications in transport engineering 
การประยุกต์คอมพิวเตอร์ในงานวิศวกรรมขนส่ง",3(3-0-6),T05
121,01200434-60,"Rail Infrastructure 
โครงสร้างพื้นฐานระบบราง",3(3-0-6),T05
122,01200435-60,"Rail System Operation and Maintenance 
การปฏิบัติการและการซ่อมบำรุงระบบราง",3(3-0-6),T05
123,01203481-60,"Sanitary Engineering and Water Supply 
วิศวกรรมสุขภิบาลและการประปา",3(3-0-6),T05
124,01175xxx-65,กิจกรรมพลศึกษา,1(0-2-1),T05
125,01355xxx-65,กลุ่มวิชาภาษาอังกฤษ,3(3-0-6),T05
126,01403114-65,"Laboratory in Fundamental of General Chemistry 
ปฏิบัติการหลักมูลเคมีทั่วไป",1(0-3-2),T05
127,01403117-65,"Fundamental of General Chemistry 
หลักมูลเคมีทั่วไป",3(3-0-6),T05
128,01204111-65,"Computers and Programming 
คอมพิวเตอร์และการโปรแกรม",3(2-3-6),T05
129,01208111-65,"Engineering Drawing 
การเขียนแบบวิศวกรรม",3(2-3-6),T05
130,01208221-65,"Engineering Mechanics I 
กลศาสตร์วิศวกรรม I",3(3-0-6),T05
131,01213211-65,"Materials Science for Engineers
วัสดุศาสตร์สำหรับวิศวกร",3(3-0-6),T05
132,01203111-65,"Applied Statistics for Civil Engineering 
สถิติประยุกต์สำหรับวิศวกรรมโยธา",2(2-0-4),T05
133,01203211-65,"Surveying 
การสำรวจ",3(2-3-6),T05
134,01203212-65,"Survey Camp 
การฝึกงานสำรวจ",1,T05
135,01203221-65,"Mechanics of Materials I 
กลศาสตร์ของวัสดุ I",3(3-0-6),T05
136,01203222-65,"Structural Analysis I 
การวิเคราะห์โครงสร้าง I",3(3-0-6),T05
137,01203223-65,"Mechanics of Materials II 
กลศาสตร์ของวัสดุ II",3(3-0-6),T05
138,01203224-65,"Applied Mathematics for Civil Engineering 
คณิตศาสตร์ประยุกต์สำหรับวิศวกรรมโยธา",3(3-0-6),T05
139,01203231-65,"Concrete and Engineering Materials 
คอนกรีตและวัสดุวิศวกรรม",3(2-3-6),T05
140,01203251-65,"Engineering Geology 
ธรณีวิทยาทางวิศวกรรม",3(3-0-6),T05
141,01203322-65,"Civil Engineering Materials Testing Laboratory 
ปฏิบัติการทดสอบวัสดุวิศวกรรมโยธา",1(0-3-2),T05
142,01203323-65,"Structural Analysis II 
การวิเคราะห์โครงสร้าง III",3(3-0-6),T05
143,01203331-65,"Reinforced Concrete Design 
การออกแบบคอนกรีตเสริมเหล็ก",4(3-3-8),T05
144,01203333-65,"Design of Timber and Steel Structures 
การออกแบบโครงสร้างไม้และเหล็ก",4(3-3-8),T05
145,01203352-65,"Soil Mechanics 
ปฐพีกลศาสตร์",3(3-0-6),T05
146,01203353-65,"Soil Mechanics Laboratory
ปฏิบัติการปฐพีกลศาสตร์",1(0-3-2),T05
147,01203354-65,"Foundation Design 
การออกแบบฐานราก",3(3-0-6),T05
148,01203361-65,"Construction Engineering and Management 
วิศวกรรมก่อสร้างและการจัดการ",3(3-0-6),T05
149,01203371-65,"Transportation Engineering 
วิศวกรรมขนส่ง",3(3-0-6),T05
150,01203381-65,"Computer Applications in Civil Engineering 
การประยุกต์คอมพิวเตอร์ในงานวิศวกรรมโยธา",1(0-3-2),T05
151,01203399-65,"Internship 
การฝึกงาน",1,T05
152,01203471-65,"Highway Engineering 
วิศวกรรมการทาง",3(3-0-6),T05
153,01203472-65,"Smart Cities 
เมืองอัจฉริยะ",3(3-0-6),T05
154,01203495-65,"Civil Engineering Project Preparation 
การเตรียมการโครงงานวิศวกรรมโยธา",1(0-3-2),T05
155,01203497-65,"Seminar 
สัมมนา",1,T05
156,01203499-65,"Civil Engineering Project 
โครงงานวิศวกรรมโยธา",1(0-3-2),T05
157,01209211-65,"Fluid Mechanics 
กลศาสตร์ของของไหล",3(3-0-6),T05
158,01209312-65,"Laboratory for Fluid Mechanics 
ปฏิบัติการสำหรับวิชากลศาสตร์ของของไหล",1(0-3-2),T05
159,01209242-65,"Hydrology for Civil Engineering 
อุทกวิทยาสำหรับวิศวกรรมโยธา",2(2-0-4),T05
160,01209423-65,"Hydraulic Engineering 
วิศวกรรมชลศาสตร์",3(3-0-6),T05
161,01203311-65,"Engineering Surveying Technology 
เทคโนโลยีการสำรวจทางวิศวกรรม",3(2-3-6),T05
162,01203312-65,"Photogrammetry 
การสำรวจด้วยภาพถ่าย",3(2-3-6),T05
163,01203411-65,"Aerial Photography Interpretation 
การแปลภาพถ่ายทางอากาศ",3(2-3-6),T05
164,01203415-65,"Remote Sensing for Engineers 
การสำรวจข้อมูลระยะไกลสำหรับวิศวกร",3(2-3-6),T05
165,01203416-65,"Geographic Information Systems for Engineers 
ระบบสารสนเทศภูมิศาสตร์สำหรับวิศวกร",3(2-3-6),T05
166,01203417-65,"Satellite Surveying for Engineers 
การสำรวจด้วยดาวเทียมสำหรับวิศวกร",3(2-3-6),T05
167,01203421-65,"Computer Applications in Structural Engineering 
การประยุกต์คอมพิวเตอร์ในงานวิศวกรรมโครงสร้าง",3(2-3-6),T05
168,01203422-65,"Structural Damage and Rehabilitation 
ความเสียหายของโครงสร้างและการฟื้นฟูสภาพ",3(3-0-6),T05
169,01203431-65,"Prestressed Concrete Design 
การออกแบบคอนกรีตอัดแรง",3(3-0-6),T05
170,01203432-65,"Bridge Structural Design 
การออกแบบโครงสร้างสะพาน",3(3-0-6),T05
171,01203433-65,"Building Structural Design 
การออกแบบโครงสร้างอาคาร",3(2-3-6),T05
172,01203434-65,"Structural Steel Technology 
เทคโนโลยีของเหล็กโครงสร้าง",3(3-0-6),T05
173,01203451-65,"Analysis and Design of Earth Structures 
การวิเคราะห์และออกแบบโครงสร้างดิน",3(3-0-6),T05
174,01203452-65,"Engineering Soil Exploration 
การสำรวจดินทางวิศวกรรม",3(2-3-6),T05
175,01203453-65,"Principles of Geomechanics 
หลักการธรณีกลศาสตร์",3(3-0-6),T05
176,01203454-65,"Computer Applications in Geotechnical Engineering 
การประยุกต์คอมพิวเตอร์ในงานวิศวกรรมปฐพี",3(2-3-6),T05
177,01203455-65,"Principles of Rock Mechanics and Tunneling 
หลักการกลศาสตร์ของหินและงานอุโมงค์",3(2-3-6),T05
178,01203456-65,"Geo-environmental Engineering 
วิศวกรรมปฐพีสิ่งแวดล้อม",3(3-0-6),T05
179,01203461-65,"Construction Equipment 
เครื่องมือในงานก่อสร้าง",3(3-0-6),T05
180,01203462-65,"Contract, Specification and Construction Estimation 
สัญญา ข้อกำหนดและการประมาณการก่อสร้าง",3(3-0-6),T05
181,01203463-65,"Sustainable Construction 
การก่อสร้างอย่างยั่งยืน",3(3-0-6),T05
182,01203464-65,"Materials and Methods of Construction 
วัสดุและวิธีการก่อสร้าง",3(3-0-6),T05
183,01203465-65,"Computer Applications in Construction 
การประยุกต์คอมพิวเตอร์ในงานก่อสร้าง",3(2-3-6),T05
184,01203466-65,"Construction Project Analysis 
การวิเคราะห์โครงการก่อสร้าง",3(3-0-6),T05
185,01203467-65,"Supervision and Inspection in Construction 
การควบคุมและตรวจสอบงานก่อสร้าง",3(3-0-6),T05
186,01203470-65,"Freight Transportation Planning and Logistics
การวางแผนการขนส่งสินค้าและโลจิสติกส์",3(3-0-6),T05
187,01203473-65,"Traffic Engineering 
วิศวกรรมจราจร",3(3-0-6),T05
188,01203474-65,"Urban Transportation Planning 
การวางแผนการขนส่งเขตเมือง",3(3-0-6),T05
189,01203475-65,"Urban Mass Transportation Planning 
การวางแผนการขนส่งมวลชนเขตเมือง",3(3-0-6),T05
190,01203476-65,"Airport Planning and Design 
การวางแผนและการออกแบบสนามบิน",3(3-0-6),T05
191,01203477-65,"Pavement Structures 
โครงสร้างพื้นผิวทาง",3(3-0-6),T05
192,01203478-65,"Traffic Design and Operation 
การออกแบบและการดำเนินงานการจราจร",3(2-3-6),T05
