รหัสวิชา,ชื่อวิชา,หน่วยกิจ,
01417167-65,"Engineering Mathematics I
คณิตศาสตร์วิศวกรรม I",3(3-0-6),
01417168-65,"Engineering Mathematics II
คณิตศาสตร์วิศวกรรม II",3(3-0-6),
01417267-65,"Engineering Mathematics III
คณิตศาสตร์วิศวกรรม III",3(3-0-6),
01420111-65,"General Physics I
ฟิสิกส์ทั่วไป I",3(3-0-6),
01420112-65,"General Physics II
ฟิสิกส์ทั่วไป II",3(3-0-6),
01420113-65,"Laboratory in Physics I
ปฏิบัติการฟิสิกส์ I",1(0-3-2),
01420114-65,"Laboratory in Physics II
ปฏิบัติการฟิสิกส์ II",1(0-3-2),
03601204-65,"Electric Circuit Analysis for Computer Engineers
การวิเคราะห์วงจรไฟฟ้าสำหรับวิศวกรคอมพิวเตอร์",3(3-0-6),
03601205-65,"Electric Circuit Laboratory for Computer Engineers
ปฏิบัติการวงจรไฟฟ้าสำหรับวิศวกรคอมพิวเตอร์",1(0-3-2),
03603111-65,"Programming Fundamentals I
หลักการโปรแกรมเบื้องต้น l",3(2-3-6),
03603112-65,"Programming Fundamentals II
หลักการโปรแกรมเบื้องต้น II",3(2-3-6),
03604111-65,"Engineering Drawing
การเขียนแบบทางวิศวกรรม",3(2-3-6),
03603171-65,"Introduction to Computer Engineering and Informatics
วิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์เบื้องต้น",3(3-0-6),
03603352-65,"Laws and Ethics in Information Technology
กฏหมายและจริยธรรทางเทคโนโลยีสารสนเทศ",3(3-0-6),
03603251-65,"Database Systems
ระบบฐานข้อมูล",3(3-0-6),
03603252-65,"Database Systems Laboratory
ปฏิบัติการระบบฐานข้อมูล",1(0-3-2),
03603212-65,"Abstract Data Types and Problem Solving
แบบชนิดข้อมูลนามธรรมและการแก้ปัญหา",3(3-0-6),
03603213-65,"Algorithm Design and Analysis
การออกแบบและวิเคราะห์ขั้นตอนวิธี",3(3-0-6),
03603214-65,"Programming Skills Development Laboratory
ปฏิบัติการพัฒนาทักษะการโปรแกรม",1(0-3-2),
03603241-65,"Application Development
การพัฒนาโปรแกรมประยุกต์",3(3-0-6),
03603341-65,"Software Engineering
วิศวกรรมซอฟต์แวร์",4(3-3-8),
03603342-65,"Combined Information Technology for Software Development Laboratory
ปฏิบัตการผสานเทคโนโลยีสารสนเทศเพื่อการพัฒนาซอฟต์แวร์",1(0-3-2),
03603211-65,"Discrete Mathematics
วิยุตคณิต",3(3-0-6),
03603312-65,"Probability and Statistics for Informatics
ความน่าจะเป็นและสถิติสำหรับสารสนเทศศาสตร์",3(3-0-6),
03603325-65,"Data Communications and Computer Networks
การสื่อสารข้อมูลและเครือข่ายคอมพิวเตอร์",3(3-0-6),
03603332-65,"Operating Systems
ระบบปฏิบัติการ",3(3-0-6),
03601203-65,"Electronics for Computer Engineers
อิเล็กทรอนิกส์สำหรับวิศวกรคอมพิวเตอร์",3(3-0-6),
03601303-65,"Electronics Laboratory for Computer Engineers
ปฏิบัติการอิเล็กทรอนิกส์สำหรับวิศวกรคอมพิวเตอร์",1(0-3-2),
03603221-65,"Digital Systems Design
การออกแบบระบบดิจิทัล",3(3-0-6),
03603222-65,"Logic Circuit Laboratory
ปฏิบัติการวงจรตรรก",1(0-3-2),
03603223-65,"Computer Architecture and Organization
สถาปัตยกรรมและการจัดระบบคอมพิวเตอร์",3(3-0-6),
03603323-65,"Introduction to Embedded Systems
ระบบฝังตัวเบื้องต้น",3(3-0-6),
03603324-65,"Embedded Systems Laboratory
ปฏิบัติการระบบฝังตัว",1(0-3-2),
03603497-65,"Seminar
สัมมนา",1,
03603321-65,"Computer Networks Laboratory
ปฏิบัติการเครือข่ายคอมพิวเตอรื",3(1-6-6),
03603421-65,"Internetworking with TCP/IP
การเชื่อมต่อเครือข่ายด้วยที่ซีพี/ไอพี",3(3-0-6),
03603422-65,"Wireless and Mobile Networks
เครือข่ายไร้สายและเคลื่อนที่",3(3-0-6),
03603423-65,"Network Programming
การโปรแกรมเครือข่าย",3(3-0-6),
03603426-65,"Cyber Security
ความมั่นคงปลอดภัยไซเบอร์",3(3-0-6),
03603427-65,"Mobile Computing
ระบบคอมพิวเตอร์เคลื่อนที่",3(3-0-6),
03603428-65,"Internet of Things
อินเทอร์เน็ตของสรรพสิ่ง",3(3-0-6),
03603429-65,"Cryptography and Blockchain Technology
วิทยาการเข้ารหัสลับและเทคโนโลยีบบล็อกเชน",3(3-0-6),
03603411-65,"Functional Programming
การโปรแกรมเชิงฟังชั่น",3(3-0-6),
03603435-65,"Cloud Computing
การคำนวณแบบกลุ่มเมฆ",3(3-0-6),
03603436-65,"Web Application Development
การพัฒนาโปรแกรมประยุกต์บนเว็บ",3(3-0-6),
03603437-65,"Mobile Application Development
การพัฒนาโปรแกรมประยุกต์เคลื่อนที่",3(3-0-6),
03603482-65,"User Experience Design
การออกแบบประสบการณ์ของผู้ใช้",3(3-0-6),
03603484-65,"Computer Game Development
การพัฒนาเกมคอมพิวเตอร์",3(3-0-6),
03603441-65,"Software Testing
การทดสอบซอฟต์แวร์",3(3-0-6),
01204213-65,"Theory of Computaiton
ทฤษฏีการคำนวณ",3(3-0-6),
03603351-65,"Introduction to Data Science
วิทยาศาสตร์ข้อมูลเบื้องต้น",3(3-0-6),
03603452-65,"Mining Big Data
การทำเหมืองข้อมูลบิ๊กดาต้า",3(3-0-6),
03603461-65,"Artificial Intelligence
ปัญญาประดิษฐ์",3(3-0-6),
03603462-65,"Machine Learning
การเรียนรู้ของเครื่อง",3(3-0-6),
03603463-65,"Biologically-Inspired Computational Intelligence
ปัญญาเชิงคำนวณโดยเลียนแบบวิธีการทางชีวภาพ",3(3-0-6),
03603465-65,"Natural Language Processing
การประมวลผลภาษาธรรมชาติ",3(3-0-6),
03603381-65,"Digital Signal Processing for Computer Engineers
การประมวลผลสัญญาณดิจิทัลสำหรับวิศวกรคอมพิวเตอร์",3(3-0-6),
03603382-65,"Digital Image Processing
การประมวลผลภาพดิจิทัล",3(3-0-6),
03603383-65,"Digital Identification
การระบุตัวตนดิจิทัล",3(3-0-6),
03603464-65,"Computer Vision
คอมพิวเตอร์วิทัศน์",3(3-0-6),
03603481-65,"Computer Graphics
เรขภาพคอมพิวเตอร์",3(3-0-6),
03603485-65,"Digital Audio and Computer Music
เสียงดิจิทัลและดนตรีคอมพิวเตอร์",3(3-0-6),
03603371-65,"Application Development for Embedded Devices
การพัฒนาโปรแกรมประยุกต์บนอุปกรณ์ฝังตัว",3(3-0-6),
03603471-65,"Embedded Systems Interfacing
การเชื่อมต่อกับระบบฝังตัว",3(3-0-6),
03603472-65,"Industrial Automation and Control
ระบบอัตโนมัติและการควบคุมทางอุตสาหกรรม",3(3-0-6),
03603473-65,"Digital Circuit Design with VHDL
การออกแบบวงจรดิจิทัลด้วยวีเอชดีแอล",3(3-0-6),
03603474-65,"Real-Time Operating System
ระบบปฏิบัติการเวลาจริง",3(3-0-6),
03603475-65,"Sensors and Transducer
อุปกรณ์รับรู้และตัวแปรสัญญาณ",3(3-0-6),
03603476-65,"Embedded System Circuit Design
การออกแบบวงจรระบบสมองกลฝังตัว",3(3-0-6),
03603495-65,"Computer Engineering and Informatics Project Preparation
การเตรียมโครงงานวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",1(0-3-2),
03603499-65,"Computer Engineering and Informatics Project
โครงงานวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",2(0-6-3),
03603432-65,"Programming Language Concepts
มโนทัศน์ภาษาโปรแกรม",3(3-0-6),
03603451-65,"Information Technology Management
การจัดการเทคโนโลยีสารสนเทศ",3(3-0-6),
03603496-65,"Selected Topics in Computer Engineering and Informatics
เรื่องเฉพาะทางวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",1,
03603498-65,"Special Problems
ปัญหาพิเศษ",1,
03600390-65,"Co-operative Education Preparation
การเตรียมความพร้อมสหกิจศึกษา",3(3-0-6),
03600490-65,"Co-operative Education
สหกิจศึกษา",6,
